year,month,mean_speed_kmh,min_speed_kmh,max_speed_kmh,corridors
2023,1,32.36479166666667,23.18,50.45,48
2023,2,31.564166666666665,22.97,48.88,48
2023,3,32.06979166666667,18.43,49.6,48
2023,4,33.09854166666667,18.14,50.44,48
2023,5,32.203125,15.94,49.75,48
2023,6,32.250416666666666,15.64,51.5,48
2023,7,32.343125,18.5,51.24,48
2023,8,32.40958333333334,20.08,50.36,48
2023,9,32.651041666666664,22.43,50.34,48
2023,10,32.39541666666667,22.22,48.33,48
2023,11,31.592916666666667,21.55,46.62,48
2023,12,31.997708333333332,21.22,48.05,48
